county_name,2017,2022,pct_change_5yr,high_risk
ADAIR,5517.130434782609,5908.0526315789475,7.0856072992543275,0
ALLEN,4947.57,5120.297029702971,3.491148780168262,1
ANDERSON,2696.1585365853657,2496.6363636363635,-7.400238904411507,1
BALLARD,5161.25,5550.420454545455,7.540236464915571,0
BARREN,8844.691489361701,10401.38947368421,17.600364989495546,0
BATH,3940.674157303371,4857.020618556701,23.253545578109716,0
BELL,533.0144927536232,797.6578947368421,49.65032012845206,0
BOONE,2656.551724137931,3070.8426966292136,15.595065163872263,0
BOURBON,5225.708333333333,7051.257731958763,34.9340086009156,0
BOYD,697.6714285714286,1108.8157894736842,58.93094429051312,0
BOYLE,2688.322222222222,4341.397849462365,61.490978037360314,0
BRACKEN,3033.8987341772154,3688.7391304347825,21.58412174014628,0
BREATHITT,769.8571428571429,1401.923076923077,82.10171717315899,0
BRECKINRIDGE,9140.851063829787,10403.927835051547,13.817934045766664,0
BULLITT,1762.2727272727273,1398.6279069767443,-20.63499109236942,1
BUTLER,5035.8279569892475,7884.044444444445,56.55905070192371,0
CALDWELL,6276.211111111111,6917.577319587629,10.219003107481097,0
CALLOWAY,6066.792079207921,7136.103773584906,17.62565257579412,0
CAMPBELL,1505.4823529411765,1705.3493975903614,13.275947357251706,0
CARLISLE,5128.25,7096.093023255814,38.37260319321043,0
CARROLL,1769.6835443037974,2102.0135135135133,18.779061955986958,0
CARTER,2856.940476190476,3207.4945054945056,12.270260169069672,0
CASEY,5152.443298969072,7023.950980392156,36.322722499392576,0
CHRISTIAN,13527.838095238096,16384.405405405407,21.116214505648504,0
CLARK,4702.351648351649,5644.10752688172,20.027338424598522,0
CLAY,1241.816091954023,1563.7529411764706,25.924680096218864,0
CLINTON,2196.4625,2500.0714285714284,13.822632008123442,0
CRITTENDEN,5687.681318681319,6639.663043478261,16.737606617834523,0
CUMBERLAND,2577.768292682927,3716.629213483146,44.18011207729221,0
DAVIESS,10962.333333333334,14677.650943396226,33.89166792406931,0
EDMONSON,2937.710843373494,3987.322222222222,35.72888670157259,0
ELLIOTT,1961.1486486486488,2029.7323943661972,3.497121228663971,1
